id,name,description,address,city,state,zip_code,phone,email,website,services,state_abbreviation,business_description
1,Acushnet Alternative Heating,"Solar services, Ductless HVAC, Heating, Cooling, Air Source Heat Pumps, Fireplaces","127 South Main Street, Acushnet, MA 02743",127 South Main Street,MA,2743,17742026666,,http://acushnetalternativeheating.com,"[""Solar services, Ductless HVAC, Heating, Cooling, Air Source Heat Pumps, Fireplaces""]",Acushnet,
2,"Advanced Improvements, Inc.","Professional Solar, Roofing & HVAC Design & Installation Services. Also offers: Solar Photovoltaic, Roofing, Heating & Air Conditioning, Tankless Water Heaters, Home Energy Audits, Commercial, Residential","5031 E Orangethorpe Ave., Anaheim, CA 92807",5031 E Orangethorpe Ave.,CA,92807,17146306611,info@advancedimprovementsinc.com,http://www.advancedimp.com,"[""Professional Solar, Roofing & HVAC Design & Installation Services. Also offers: Solar Photovoltaic, Roofing, Heating & Air Conditioning, Tankless Water Heaters, Home Energy Audits, Commercial, Residential""]",Anaheim,
3,AAPCO Home Improvement,"Bathrooms, Solar Panels, Windows, Doors, Outdoor Living, Roofing, Gutters, Siding, Bathroom Conversions, Bathtub Replacement, Walk-in Tubs, Shower Replacement, Low Barrier Showers, One Day Remodel, Bath Wall Surrounds, Shower Wall Surrounds, Shower Bases, Window Replacement, Window Styles, Energy Efficient Windows, ProVia Windows, Door Replacement, Door Styles, Entry Doors, Patio Doors, ProVia Doors, Solar Panel Installation, Solar Batteries, Roof Replacement, Roof Types, Metal Roofing, GAF Roofing, Gutters, Gutter Guards, Seamless Gutters, Siding Replacement, Siding Types, Vinyl Siding, Soffit and Fascia, Decks, Sunrooms, 3-Season Rooms, 4-Season Rooms, Porch Covers","6710 US-1, North Chesterfield, VA 23237",6710 US-1,VA,23237,18042074906,info@aapcohi.com,http://www.aapcohi.com/,"[""Bathrooms, Solar Panels, Windows, Doors, Outdoor Living, Roofing, Gutters, Siding, Bathroom Conversions, Bathtub Replacement, Walk-in Tubs, Shower Replacement, Low Barrier Showers, One Day Remodel, Bath Wall Surrounds, Shower Wall Surrounds, Shower Bases, Window Replacement, Window Styles, Energy Efficient Windows, ProVia Windows, Door Replacement, Door Styles, Entry Doors, Patio Doors, ProVia Doors, Solar Panel Installation, Solar Batteries, Roof Replacement, Roof Types, Metal Roofing, GAF Roofing, Gutters, Gutter Guards, Seamless Gutters, Siding Replacement, Siding Types, Vinyl Siding, Soffit and Fascia, Decks, Sunrooms, 3-Season Rooms, 4-Season Rooms, Porch Covers""]",NorthChesterfield,
4,All Seasons Restoration,"Roofing and restoration services including commercial and residential roofing, metal roofs, insurance claims, paint, soffit replacement, gutter installation, window replacement, siding & fascia replacement.","1819 Warren Ave, Suite B, Cheyenne, Wyoming, 82001",Cheyenne,"WY, NE, CO",82001,13073655470,tim@myallseasons.com,http://www.myallseasonscheyenne.com,"[""Roofing and restoration services including commercial and residential roofing, metal roofs, insurance claims, paint, soffit replacement, gutter installation, window replacement, siding & fascia replacement.""]",Wyoming,
5,LLM Error Handling,Error Detection and Resolution,"2415, Burdette St., Ferndale, MI, 48220",Ferndale,MI,48220,13133641584,errorhandling@example.com,http://www.distributedpower.net/,"[""Error Detection and Resolution""]",MI,
6,Integrity Electric & Solar,Electric and solar services,"11484 FM 2868 Unit O, Flint, TX, 75762",Flint,TX,75762,19035390098,,http://www.integrityelectricsolar.com,"[""Electric and solar services""]",TX,
7,Gateway Clean Energy,Clean Energy Services,"302 Elati Street, Denver, CO 80223",302 Elati Street,CO,80223,8334236749,,http://www.gatewaycleanenergy.com,"[""Clean Energy Services""]",Denver,
8,DeGram Electric,"Complete electrical services for commercial, industrial, residential, and agricultural properties. Troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, complete cabling, outlet installations, service upgrades. Landscape lighting, electrical boxes, appliance hookups, storm damage, fuse box repair, security lighting, electrical violations corrected.","2652 W Kendaville Rd, Stanton, MI, 48888-9628",Stanton,MI,488889628,19897625466,,http://Not provided,"[""Complete electrical services for commercial, industrial, residential, and agricultural properties. Troubleshooting, motion sensor installation, sign lighting, perimeter lighting, motor controls, complete cabling, outlet installations, service upgrades. Landscape lighting, electrical boxes, appliance hookups, storm damage, fuse box repair, security lighting, electrical violations corrected.""]",MI,
9,Freedom Power,This site is not published or does not have a domain assigned to it.,"7701 Soto Ln, Jacksonville, AR, 72076",Jacksonville,AR,72076,15016218788,,http://www.freedompowerar.com,"[""This site is not published or does not have a domain assigned to it.""]",AR,
10,SunLogic,"Solar energy systems, roof replacements, electric vehicle charging stations, and other energy-efficient upgrades.","599 Albany Ave, Unit C, Amityville, NY, 11701",Amityville,CA,11701,16318259388,info@gosunlogic.com,http://www.gosunlogic.com,"[""Solar energy systems, roof replacements, electric vehicle charging stations, and other energy-efficient upgrades.""]",NY,
11,A-C Electric Company,"Electrical construction, automation solutions, and commercial solar contractor","Bakersfield, CA",Bakersfield,CA,,16614100000,,http://www.a-celectric.com/,"[""Electrical construction, automation solutions, and commercial solar contractor""]",CA,
12,Ideal Solar,"Solar Energy for Residential, Commercial & Industrial Properties","1300 N 10th St., Suite 440, McAllen, TX, 78501",McAllen,TX,78501,19565407852,info@goidealsolar.com,http://www.goidealsolar.com/,"[""Solar Energy for Residential, Commercial & Industrial Properties""]",TX,
13,Graves Bros. Home Improvement,"Roofing, Solar, Siding, Windows, Doors, Insulation, Gutters, Home Performance Program, Handyman Repair Services, Kitchen & Bathroom Remodeling, Commercial Roofing & Siding","755 Winton Rd N, Rochester, NY, 14609",Rochester,NY,14609,15852883390,info@gravesbros.com,http://www.gravesbros.com,"[""Roofing, Solar, Siding, Windows, Doors, Insulation, Gutters, Home Performance Program, Handyman Repair Services, Kitchen & Bathroom Remodeling, Commercial Roofing & Siding""]",NY,
14,A-Tech Electric,"Electrical services ranging from changing light bulbs to installing solar panels, panel upgrades, electrical layout, design, wiring, installation/upgrades, emergency power solutions, Solar Panels, EV Vehicle Charger, Panel Upgrade & Installation, Wiring, Remodels & Additions, HVAC , Installation of heating and cooling systems , Smart Home, Flat Panel TV Installation, Home Theater, Custom Lighting, Security Systems, Security Cameras, Burglar Alarm Systems, Electronic Gates, Security Lighting, electrical maintenance","3818 South Crenshaw Blvd, Los Angeles, CA, 90008",Los Angeles,CA,90008,13236914871,info@yourdomain.com,http://www.atechelectric.us,"[""Electrical services ranging from changing light bulbs to installing solar panels, panel upgrades, electrical layout, design, wiring, installation/upgrades, emergency power solutions, Solar Panels, EV Vehicle Charger, Panel Upgrade & Installation, Wiring, Remodels & Additions, HVAC , Installation of heating and cooling systems , Smart Home, Flat Panel TV Installation, Home Theater, Custom Lighting, Security Systems, Security Cameras, Burglar Alarm Systems, Electronic Gates, Security Lighting, electrical maintenance""]",CA,
15,Add On Solar,"Solar Panel Sales, Installation & Services, Renewable energy, energy storage, and efficiency","2550 W. Union Hills Dr, Suite 350, Phoenix, AZ, 85027",Phoenix,AZ,85027,15058049534,info@addonsolar.net,http://addonsolar.net/,"[""Solar Panel Sales, Installation & Services, Renewable energy, energy storage, and efficiency""]",AZ,
16,Alternative Energy Development Group (AEDG),"AEDG helps commercial-scale clients reduce their energy demand, reduce their energy supply costs, and become more sustainable and resilient. We serve clients energy & sustainability needs with Advisory Services; Develop, finance, own and operate commercial- and industrial-scale clean energy projects; And manage operating energy projects for investors including the Alternative Energy Infrastructure Projects Fund I LP.","7 Great Valley Parkway, Suite 110 Malvern, PA 19355",7 Great Valley Parkway,PA,19355,16109247860,,http://www.aedgonline.com,"[""AEDG helps commercial-scale clients reduce their energy demand, reduce their energy supply costs, and become more sustainable and resilient. We serve clients energy & sustainability needs with Advisory Services; Develop, finance, own and operate commercial- and industrial-scale clean energy projects; And manage operating energy projects for investors including the Alternative Energy Infrastructure Projects Fund I LP.""]",SuiteMalvern,
17,Affordable Solar Energy,"Solar energy system installation and services, including custom system design, financing assistance, and a 25-year warranty on parts and service.","Red Bluff, California, 96080",Red Bluff,CA,96080,15305276659,,,"[""Solar energy system installation and services, including custom system design, financing assistance, and a 25-year warranty on parts and service.""]",California,
18,DVK Solar Panels,Solar panels,"8133 W 129th St, Palos Park, IL, 60464",Palos Park,IL,60464,17086752417,,http://www.dvksolarpanels.com,"[""Solar panels""]",IL,
19,Empowered Solar,Designing and installing solar electric systems for residential and commercial customers,"1407 E Jefferson St, Boise, ID, 83712",Boise,ID,83712,12089015167,info@empowered.solar,https://empowered.solar,"[""Designing and installing solar electric systems for residential and commercial customers""]",ID,
20,A-Advanced Home Services,"Residential Heating & Air Conditioning Products, Commercial HVAC Services, Installation & Replacement, Trained Technicians, Equipment Retrofit & Replacement, Preventative Maintenance, Extended Service Agreements, Emergency Service, Indoor Air Quality Specialists, Service All Makes & Models, Sheet Metal Fabrication, Electrical Services, Water Heaters, Solar Installation and Repair","1349 Daniel Rd, Louisa, VA 23093",1349 Daniel Rd,VA,23093,18882812243,info@a-advanced.com,http://www.a-advanced.com,"[""Residential Heating & Air Conditioning Products, Commercial HVAC Services, Installation & Replacement, Trained Technicians, Equipment Retrofit & Replacement, Preventative Maintenance, Extended Service Agreements, Emergency Service, Indoor Air Quality Specialists, Service All Makes & Models, Sheet Metal Fabrication, Electrical Services, Water Heaters, Solar Installation and Repair""]",Louisa,
21,691 Electric,"Solar installation company offering residential, commercial, and battery & generator services. Authorized Kohler dealer.","PO Box 691, Nags Head, NC, 27959",Nags Head,"NC, VA",27959,12525482678,paul@691electric.com,http://www.691electric.com/,"[""Solar installation company offering residential, commercial, and battery & generator services. Authorized Kohler dealer.""]",NC,
22,helixsun,Solar related services,"3050 Post Oak Blvd., Ste 510, Houston, TX 77056",Ste 510,TX,77056,12816987551,support@helixsun.us ,http://www.helixsun.us,"[""Solar related services""]",Houston,
